X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,Y
33990,11,0.428375178,0,90.43,kOT,68,0,kD,kM,115,kM,211.1,326.1,1000,kS,1,k0,k9,33990,33990,366,k130,k17,kD,0.16,14.69,67,kO,kN,k3,0
50000,7,0.207796902,1,120.73,kOT,46,0,kC,kM,210,kF,581,791,3500,kS,2,k0,k9,50000,50000,1099,k95,k17,kD,25.43,13.99,50,kO,kN/A,k3,0
5000,3,0.343790723,0,176.76,kOT,25,872.57,kS,kM,335,kM,514.15,849.15,1500,kU,4,k0,k5,5000,4127.43,264,k28,k10,kD,1.6,14.69,25,kR,kF,k3,0
46672.11,2,0.365843432,0,174.5,kOT,55,9584.38,kC,kM,884.69,kF,476.98,1361.67,5000,kU,1,k0,k7,46672.11,37087.73,1103,k85,k17,kD,62.02,14.69,54,kO,kA,k3,0
5464.5,-1,0.48784,1,121.96,kOT,25,0,kS,kM,250,kM,250,500,2500,kS,1,k0,k2,5464.5,5464.5,739,k85,k10,kI,6.28,14.69,25,kO,kF,k3,0
163161.62,7,0.253940069,0,276.01,kOT,68,0,kC,kM,340,kF,1086.91,1426.91,10000,kS,1,k0,k2,163161.62,163161.62,1468,k26,k10,kD,61.39,14.69,70,kO,kF,k3,0
43592.96,15,0.341715686,0,348.55,kOT,52,2700,kC,kM,200,kF,1020,1220,10000,kP,1,k0,k1,43592.96,40892.96,1098,k72,k10,kD,33.57,14.69,54,kR,kN,k3,0
62350.94,-2,0.423710526,3,161.01,kOT,56,0,kC,kM,220,kM,380,600,4000,kP,2,k0,k6,62350.94,62350.94,907,k129,k10,kD,427.7,14.69,58,kO,kN,k3,0
140025.4,15,0.342687793,0,291.97,kOT,60,8893.16,kD,kM,598,kF,852,1450,6000,kS,2,k0,k7,140025.4,131132.24,732,k89,k17,kD,10.01,14.69,60,kR,kN,k3,0
12532,1,0.200413318,1,174.56,kOT,28,3973,kC,kM,1075,kM,871,1946,5000,kU,1,k0,k1,12532,8559,1104,k80,k10,kD,66.03,14.69,32,kO,kF,k3,0
